question_id,paper_id,score_rate,concept,reasoning,novelty,visual,modeling,position,is_open,topic_mech,topic_em,topic_thermo_optics_modern,textbook_scene_degree,textbook_pattern_degree,blind_idx
5,xicheng_2026,0.97,1,1,0,2,0,0.152,0,1,0,0,2,2,1
13,gaokao_2024,0.61,3,3,2,0,1,0.344,0,0,0,1,0,1,2
20-1b,xicheng_2026,0.39,4,4,2,0,3,0.97,1,0,1,0,1,1,3
14,gaokao_2023,0.63,4,3,3,0,2,0.387,0,0,0,1,0,0,4
13,xicheng_2025,0.6,4,4,2,2,3,0.394,0,0,1,0,0,1,5
8,xicheng_2026,0.89,2,2,0,0,1,0.242,0,1,0,0,2,2,6
17-1,xicheng_2025,0.92,1,1,0,1,0,0.667,1,1,0,0,2,2,7
18-1,gaokao_2022,0.94,1,1,0,1,0,0.733,1,0,1,0,2,2,8
18-3,xicheng_2025,0.53,3,3,1,1,2,0.818,1,0,1,0,1,1,9
20-3,gaokao_2024,0.21,5,5,3,1,3,1.0,1,0,1,0,0,0,10
20-2,xicheng_2026,0.28,5,5,3,0,3,1.0,1,0,1,0,0,0,11
20-3,gaokao_2025,0.02,5,5,3,1,3,1.0,1,0,0,1,0,0,12
20-2,gaokao_2023,0.34,4,4,2,1,3,0.968,1,1,0,0,0,1,13
8,gaokao_2023,0.77,3,3,0,1,1,0.258,0,0,1,0,2,1,14
16-4,gaokao_2022,0.34,3,3,2,0,2,0.6,1,1,0,0,0,1,15
17-3,gaokao_2023,0.9,2,2,0,1,1,0.71,1,1,0,0,2,2,16
15-1,xicheng_2026,0.88,2,2,0,2,1,0.455,1,0,0,1,2,2,17
19-2b,gaokao_2024,0.18,5,5,3,1,3,0.906,1,1,0,0,0,0,18
18-1,gaokao_2024,0.93,2,2,1,1,1,0.75,1,0,1,0,2,2,19
3,xicheng_2025,0.92,1,1,0,0,0,0.091,0,0,0,1,2,2,20
