question_id,paper_id,score_rate,concept,reasoning,novelty,visual,modeling,position,is_open,topic_mech,topic_em,topic_thermo_optics_modern,textbook_scene_degree,textbook_pattern_degree
1,xicheng_2024,0.93,1,1,0,0,0,0.03,0,0,0,1,2,2
2,xicheng_2024,0.95,1,1,0,0,0,0.061,0,0,0,1,2,2
3,xicheng_2024,0.8,2,2,0,0,0,0.091,0,0,0,1,2,2
4,xicheng_2024,0.93,2,2,0,1,1,0.121,0,1,0,0,2,2
5,xicheng_2024,0.88,2,2,0,1,1,0.152,0,0,1,0,2,2
6,xicheng_2024,0.61,3,3,1,0,1,0.182,0,1,0,0,1,2
7,xicheng_2024,0.92,2,2,1,1,1,0.212,0,1,0,0,1,2
8,xicheng_2024,0.63,3,3,0,1,2,0.242,0,0,1,0,2,2
9,xicheng_2024,0.8,3,3,1,1,2,0.273,0,0,1,0,1,2
10,xicheng_2024,0.49,4,4,1,1,2,0.303,0,0,0,1,2,1
11,xicheng_2024,0.67,3,3,1,1,2,0.333,0,1,0,0,1,1
12,xicheng_2024,0.65,3,3,2,1,2,0.364,0,1,0,0,1,1
13,xicheng_2024,0.61,3,3,1,1,2,0.394,0,0,1,0,1,1
14,xicheng_2024,0.82,3,3,2,0,1,0.424,0,0,0,1,0,1
15-1,xicheng_2024,0.72,2,2,0,1,0,0.455,1,1,0,0,2,2
15-2a,xicheng_2024,0.68,2,2,0,2,1,0.485,1,1,0,0,2,2
15-2b,xicheng_2024,0.84,2,2,0,2,1,0.515,1,1,0,0,2,2
16-1,xicheng_2024,0.96,1,1,0,1,0,0.545,1,0,1,0,2,2
16-2,xicheng_2024,0.8,2,2,0,2,1,0.576,1,0,1,0,2,2
16-3,xicheng_2024,0.5,3,3,1,2,2,0.606,1,0,1,0,2,1
16-4,xicheng_2024,0.33,4,4,1,1,3,0.636,1,0,1,0,1,1
17-1,xicheng_2024,0.88,2,2,0,1,1,0.667,1,1,0,0,2,2
17-2,xicheng_2024,0.87,2,2,0,1,1,0.697,1,1,0,0,2,2
17-3,xicheng_2024,0.63,3,3,0,1,2,0.727,1,1,0,0,1,2
18-1,xicheng_2024,0.92,2,2,1,1,1,0.758,1,0,1,0,1,2
18-2,xicheng_2024,0.76,3,3,1,1,2,0.788,1,0,1,0,1,2
18-3,xicheng_2024,0.67,3,3,1,1,2,0.818,1,0,1,0,1,1
19-1,xicheng_2024,0.61,3,3,2,2,2,0.848,1,0,1,0,1,2
19-2a,xicheng_2024,0.58,3,3,2,2,3,0.879,1,0,1,0,1,1
19-2b,xicheng_2024,0.19,5,5,3,2,3,0.909,1,0,1,0,0,0
20-1,xicheng_2024,0.82,2,2,1,1,1,0.939,1,1,0,0,2,2
20-2a,xicheng_2024,0.22,4,4,2,1,3,0.97,1,1,0,0,0,1
20-2b,xicheng_2024,0.12,5,5,2,1,3,1.0,1,1,0,0,0,0
1,xicheng_2025,0.85,1,1,0,0,0,0.03,0,0,0,1,2,2
2,xicheng_2025,0.92,1,1,0,0,0,0.061,0,0,0,1,2,2
3,xicheng_2025,0.92,1,1,0,0,0,0.091,0,0,0,1,2,2
4,xicheng_2025,0.93,2,2,0,1,0,0.121,0,0,1,0,2,2
5,xicheng_2025,0.93,2,2,0,1,0,0.152,0,1,0,0,2,2
