paper_id,question_id,score_rate,context_familiarity,info_complexity,topic,concept_count,knowledge_depth,openness,modeling,reasoning,computation,question_type,notes
gaokao_2026,1,,0,1,in,1,recall,closed,0,1,0,mcq,筷子入水侧移·折射现象识别
gaokao_2026,2,,1,1,in,1,apply,closed,0,1,1,mcq,18F制备·核反应质量电荷守恒·PET情境
gaokao_2026,3,,0,1,in,2,apply,closed,0,2,0,mcq,理想气体等温膨胀·热一律
gaokao_2026,4,,0,1,in,2,apply,closed,1,2,1,mcq,汽车刹车距离·动能定理
gaokao_2026,5,,0,2,in,3,apply,closed,1,2,1,mcq,简谐横波波形·标准波形题
gaokao_2026,6,,0,1,in,3,analyze,closed,1,3,0,mcq,斜面匀速下滑·冲量+合力+机械能
gaokao_2026,7,,0,2,in,3,analyze,closed,1,3,1,mcq,理想变压器+滑动变阻器·电流电压表变化
gaokao_2026,8,,0,1,in,2,apply,closed,1,2,1,mcq,捷龙三号卫星·基础万有引力
gaokao_2026,9,,0,2,in,3,analyze,closed,1,3,0,mcq,直流电源+电阻+平行板电容器·稳态电路
gaokao_2026,10,,1,2,in,3,analyze,closed,1,3,0,mcq,蹦极·弹性绳+势能+加速度
gaokao_2026,11,,1,1,in,2,apply,closed,1,2,0,mcq,平行直导线电流磁场·探究性MCQ非真开放
gaokao_2026,12,,0,2,in,3,analyze,closed,1,3,1,mcq,磁铁穿过线圈·i-t图分析
gaokao_2026,13,,1,2,cross,2,analyze,closed,1,3,0,mcq,光电导效应·2概念对比
gaokao_2026,14,,1,3,cross,2,apply,closed,1,2,0,mcq,Hopfield神经网络·MCQ4选1有类比铺垫
gaokao_2026,15-1,,0,2,in,2,apply,closed,0,1,0,fill,加速度力关系实验·m与M关系条件
gaokao_2026,15-2,,0,2,in,3,apply,closed,0,1,0,fill,实验操作判断·三选一
gaokao_2026,15-3,,0,2,in,2,analyze,closed,0,2,0,fill,电阻率测量·电路故障排除
gaokao_2026,16-1,,0,1,in,2,apply,closed,0,1,0,fill,平抛实验·实验操作必要条件
gaokao_2026,16-2,,0,1,in,1,comprehend,semi,0,1,0,fill,平抛实验·同位置释放目的
gaokao_2026,16-3,,0,2,in,2,analyze,semi,1,2,0,fill,平抛实验·相等时间间隔选点方法
gaokao_2026,16-4,,1,2,in,3,analyze,closed,2,3,2,fill,平抛实验·从y/x-x直线求抛出点
gaokao_2026,17-1,,0,2,in,2,apply,closed,1,2,1,solve,U型导轨电磁感应·初始电流
gaokao_2026,17-2,,0,2,in,2,apply,closed,1,2,1,solve,U型导轨·初始加速度
gaokao_2026,17-3,,0,2,in,3,analyze,closed,1,3,1,solve,U型导轨·v0减到0过程R产生热量
gaokao_2026,18-1a,,0,2,in,3,apply,closed,1,2,1,solve,摆最低点绳拉力F·圆周运动
gaokao_2026,18-1b,,1,2,in,3,analyze,closed,1,3,2,solve,摆简谐运动·绳对球冲量I
gaokao_2026,18-2,,1,2,in,3,analyze,closed,1,3,2,solve,圆锥摆周期·与简谐周期比较
gaokao_2026,19-1,,1,3,cross,2,apply,closed,1,3,2,solve,二级质谱·一级质谱加速电压U1
gaokao_2026,19-2a,,1,3,cross,2,analyze,closed,2,3,1,solve,二级质谱·匀强磁场可行性(反证)
gaokao_2026,19-2b,,1,3,cross,2,analyze,closed,2,3,1,solve,二级质谱·电场可行性(反证)
gaokao_2026,20-1,,1,2,in,2,apply,closed,1,3,2,solve,中性粒子对心碰撞·标准动量守恒
gaokao_2026,20-2a,,2,3,cross,2,analyze,closed,2,4,2,solve,米格达尔效应·能量守恒推导
gaokao_2026,20-2b,,2,3,cross,2,analyze,semi,1,3,1,solve,米格达尔效应·数据代入比较(非开放推理)
