paper,qnum,chars
gaokao_2022,1,65
gaokao_2022,2,47
gaokao_2022,3,102
gaokao_2022,4,121
gaokao_2022,5,138
gaokao_2022,6,177
gaokao_2022,7,151
gaokao_2022,8,163
gaokao_2022,9,159
gaokao_2022,10,122
gaokao_2022,11,153
gaokao_2022,12,330
gaokao_2022,13,243
gaokao_2022,14,376
gaokao_2022,15,538
gaokao_2022,16,531
gaokao_2022,17,200
gaokao_2022,18,167
gaokao_2022,19,271
gaokao_2022,20,356
gaokao_2023,1,98
gaokao_2023,2,49
gaokao_2023,3,74
gaokao_2023,4,3
gaokao_2023,5,102
gaokao_2023,6,394
gaokao_2023,7,2
gaokao_2023,8,14
gaokao_2023,9,163
gaokao_2023,10,210
gaokao_2023,11,145
gaokao_2023,12,310
gaokao_2023,13,767
gaokao_2023,14,99
gaokao_2023,15,314
gaokao_2023,16,539
gaokao_2023,17,185
gaokao_2023,18,369
gaokao_2023,19,408
gaokao_2023,20,404
gaokao_2024,1,64
gaokao_2024,2,65
gaokao_2024,3,87
gaokao_2024,4,97
gaokao_2024,5,145
gaokao_2024,6,119
gaokao_2024,7,162
gaokao_2024,8,141
gaokao_2024,9,179
gaokao_2024,10,131
gaokao_2024,11,151
gaokao_2024,12,279
gaokao_2024,13,43
gaokao_2024,14,317
gaokao_2024,15,430
gaokao_2024,16,615
gaokao_2024,17,384
gaokao_2024,18,317
gaokao_2024,19,395
gaokao_2024,20,488
gaokao_2025,1,102
gaokao_2025,2,72
gaokao_2025,3,134
gaokao_2025,4,153
gaokao_2025,5,97
gaokao_2025,6,64
gaokao_2025,7,176
gaokao_2025,8,180
gaokao_2025,9,153
gaokao_2025,10,201
gaokao_2025,11,193
gaokao_2025,12,229
gaokao_2025,13,251
gaokao_2025,14,292
gaokao_2025,15,395
gaokao_2025,16,466
gaokao_2025,17,147
gaokao_2025,18,267
gaokao_2025,19,341
gaokao_2025,20,551
xicheng_2024,1,73
xicheng_2024,2,56
xicheng_2024,3,271
xicheng_2024,4,2
xicheng_2024,5,151
xicheng_2024,6,149
xicheng_2024,7,189
xicheng_2024,8,181
xicheng_2024,9,452
xicheng_2024,10,45
xicheng_2024,11,637
xicheng_2024,12,74
xicheng_2024,13,184
xicheng_2024,14,536
xicheng_2024,15,399
xicheng_2024,16,552
xicheng_2024,17,219
xicheng_2024,18,361
xicheng_2024,19,710
xicheng_2024,20,544
xicheng_2025,1,16
xicheng_2025,2,2
xicheng_2025,3,254
xicheng_2025,4,115
xicheng_2025,5,112
xicheng_2025,6,104
xicheng_2025,7,145
xicheng_2025,8,148
xicheng_2025,9,199
xicheng_2025,10,179
xicheng_2025,11,336
xicheng_2025,12,207
xicheng_2025,13,160
xicheng_2025,14,385
xicheng_2025,15,510
xicheng_2025,16,787
xicheng_2025,17,165
xicheng_2025,18,360
xicheng_2025,19,426
xicheng_2025,20,640
xicheng_2026,1,38
xicheng_2026,2,81
xicheng_2026,3,96
xicheng_2026,4,176
xicheng_2026,5,139
xicheng_2026,6,147
xicheng_2026,7,173
xicheng_2026,8,237
xicheng_2026,9,171
xicheng_2026,10,207
xicheng_2026,11,288
xicheng_2026,12,273
xicheng_2026,13,715
xicheng_2026,14,3
xicheng_2026,15,604
xicheng_2026,16,763
xicheng_2026,17,3
xicheng_2026,18,368
xicheng_2026,19,636
xicheng_2026,20,507
