paper_id,question_id,score_rate,context_familiarity,info_complexity,topic,concept_count,knowledge_depth,openness,modeling,reasoning,computation,question_type,notes
xicheng_2024,1,0.93,0,0,thermal,1,recall,closed,0,1,0,mcq,激光双缝干涉·识别现象
xicheng_2024,2,0.95,0,0,thermal,1,apply,closed,0,1,0,mcq,核反应质量电荷守恒
xicheng_2024,3,0.8,1,0,thermal,2,analyze,closed,0,2,0,mcq,乒乓球压瘪放热水·气体第一定律
xicheng_2024,4,0.93,0,2,mech,2,apply,closed,0,2,0,mcq,简谐横波波形·λ+v+方向
xicheng_2024,5,0.88,0,1,em,1,apply,closed,0,2,0,mcq,理想变压器示数
xicheng_2024,6,0.61,1,0,mech,2,analyze,closed,0,2,0,mcq,乾坤一号近地卫星·与地球比
xicheng_2024,7,0.92,1,1,mech,1,apply,closed,0,1,0,mcq,动量定理测空间站质量
xicheng_2024,8,0.63,0,1,em,2,analyze,closed,0,3,0,mcq,点电荷等势面·动能势能时间对比
xicheng_2024,9,0.8,2,1,em,3,analyze,closed,1,3,0,mcq,磁铁+铝环+弹簧·电磁感应+力平衡
xicheng_2024,10,0.49,0,1,thermal,2,analyze,closed,0,3,0,mcq,光电效应·电流电压综合
xicheng_2024,11,0.67,1,2,mech,2,analyze,closed,0,3,1,mcq,竖直圆周·F-v²图像·斜率截距求m/g
xicheng_2024,12,0.65,2,1,mech,3,analyze,closed,1,3,1,mcq,电磁弹射微重力·多阶段
xicheng_2024,13,0.61,2,1,cross,3,analyze,closed,1,3,0,mcq,正离子·电场+磁场·速度分量分析(跨模块)
xicheng_2024,14,0.82,2,0,thermal,2,analyze,closed,1,3,0,mcq,阿秒光脉冲·情境题·长文本
xicheng_2024,15-1,0.72,0,1,mech,2,comprehend,closed,0,1,0,fill,力合成实验·记录要点
xicheng_2024,15-2a,0.68,0,2,mech,3,apply,closed,0,2,1,fill,单摆游标卡尺·读数+g表达
xicheng_2024,15-2b,0.84,0,2,mech,2,apply,closed,0,1,0,fill,T²-L图·斜率求g
xicheng_2024,16-1,0.96,0,1,em,2,comprehend,closed,0,1,0,fill,滑动变阻器起始位置
xicheng_2024,16-2,0.8,0,2,em,2,apply,closed,0,2,1,fill,U-I图·电动势+内阻
xicheng_2024,16-3,0.5,1,2,em,2,analyze,closed,1,2,0,fill,系统误差判断+画理想U-I
xicheng_2024,16-4,0.33,2,1,em,2,analyze,closed,1,3,1,fill,电动势/内阻·电表内阻表达
xicheng_2024,17-1,0.88,0,1,mech,1,apply,closed,0,2,1,solve,斜面下滑·求B点速度
xicheng_2024,17-2,0.87,0,1,mech,2,apply,closed,0,2,1,solve,缓冲区最小长度
xicheng_2024,17-3,0.63,1,1,mech,1,analyze,closed,1,3,1,solve,整个过程摩擦阻力做功
xicheng_2024,18-1,0.92,1,1,em,1,apply,closed,0,1,1,solve,磁力刹车·安培力
xicheng_2024,18-2,0.76,1,1,em,1,apply,closed,0,2,1,solve,焦耳热·能量守恒
xicheng_2024,18-3,0.67,2,1,em,2,analyze,closed,2,3,2,solve,加速度范围·磁感应强度约束+不等式
xicheng_2024,19-1,0.61,2,1,em,2,apply,closed,0,2,1,solve,EAST偏转系统·B
xicheng_2024,19-2a,0.58,2,2,cross,3,analyze,closed,1,3,2,solve,离子极板·L+进入范围(跨模块)
xicheng_2024,19-2b,0.19,2,2,cross,2,analyze,closed,2,4,2,solve,离子密度nx-x·作图+意义+近似展开
xicheng_2024,20-1,0.82,1,1,mech,1,analyze,closed,0,2,1,solve,小行星圆周判断
xicheng_2024,20-2a,0.22,2,1,mech,2,analyze,closed,1,3,2,solve,行星防御·非弹碰+能量
xicheng_2024,20-2b,0.12,2,1,mech,3,analyze,closed,2,4,2,solve,30度推力·最近距离(角动量+能量)
xicheng_2025,1,0.85,0,0,thermal,1,recall,closed,0,1,0,mcq,氘氚核反应·识别聚变+X是中子
xicheng_2025,2,0.92,0,0,thermal,1,recall,closed,0,1,0,mcq,肥皂膜彩色·干涉现象识别
xicheng_2025,3,0.92,0,1,thermal,2,analyze,closed,0,2,0,mcq,庆典气球上升·等温+第一定律
xicheng_2025,4,0.93,0,1,em,1,apply,closed,0,2,0,mcq,理想变压器·多项判断
xicheng_2025,5,0.93,0,2,mech,2,analyze,closed,0,2,0,mcq,机械波P到Q·振动方向判断
xicheng_2025,6,0.79,0,1,mech,2,analyze,closed,0,2,0,mcq,光滑斜面·与斜角无关的物理量
xicheng_2025,7,0.85,1,1,em,1,analyze,closed,0,2,0,mcq,PQ灯泡自感·通断电过程
xicheng_2025,8,0.78,0,0,mech,2,analyze,closed,0,2,0,mcq,北斗静止卫星·与地球对比
xicheng_2025,9,0.86,0,1,mech,2,apply,closed,0,2,0,mcq,足球斜抛·多项判断
xicheng_2025,10,0.77,0,1,em,2,analyze,closed,0,3,0,mcq,点电荷等势面·q1q2功相等分析
xicheng_2025,11,0.86,2,1,cross,3,analyze,closed,1,3,1,mcq,电子秤·弹簧+电路综合(跨模块)
xicheng_2025,12,0.36,1,1,mech,4,analyze,closed,1,3,1,mcq,缓慢移动vs恒力·功能关系比较
xicheng_2025,13,0.6,2,1,cross,3,analyze,closed,1,3,0,mcq,直导线+导体环运动(跨模块)
xicheng_2025,14,0.72,2,0,thermal,2,analyze,closed,0,3,0,mcq,光子动量+光学牵引·情境题
xicheng_2025,15-1,0.79,0,1,thermal,2,comprehend,closed,0,1,0,fill,气体等温实验·保持不变量
xicheng_2025,15-2,0.8,0,1,mech,2,comprehend,closed,0,1,0,fill,向心力实验·质量/角速度/半径
xicheng_2025,15-3,0.55,1,2,mech,2,analyze,closed,0,2,0,fill,单摆T²-L图无过原点·原因分析
xicheng_2025,16-1,0.95,0,1,em,2,comprehend,closed,0,1,0,fill,电阻率实验·电流表/变阻器选型
xicheng_2025,16-2,0.87,0,1,em,2,comprehend,closed,0,1,0,fill,电压表接M/N + 滑片位置
xicheng_2025,16-3,0.83,0,1,em,2,apply,closed,0,2,1,fill,电阻率表达+误差方向判断
