question_id,score_rate,concept,reasoning,novelty,visual,modeling,position,is_open,topic_mech,topic_em,topic_thermo_optics_modern,textbook_model_degree
1,0.93,1,1,0,0,0,0.05,0,0,0,1,2
2,0.80,1,1,0,0,0,0.10,0,0,0,1,2
3,0.89,1,1,0,1,0,0.15,0,0,0,1,1
4,0.90,2,2,0,1,0,0.20,0,0,1,0,2
5,0.97,1,1,0,2,0,0.25,0,1,0,0,2
6,0.93,2,2,0,1,1,0.30,0,1,0,0,2
7,0.92,2,2,1,1,1,0.35,0,1,0,0,1
8,0.89,2,2,0,0,1,0.40,0,1,0,0,2
9,0.66,3,3,0,1,1,0.45,0,0,1,0,2
10,0.72,3,3,1,1,2,0.50,0,0,1,0,1
11,0.62,4,4,2,2,2,0.55,0,0,1,0,1
12,0.71,3,3,1,0,1,0.60,0,1,0,0,1
13,0.45,4,4,1,2,2,0.65,0,0,1,0,1
14,0.69,3,3,2,2,2,0.70,0,0,0,1,1
15-1,0.88,2,2,0,2,1,0.72,1,0,0,1,2
15-2,0.54,3,2,0,2,0,0.73,1,0,1,0,2
15-3,0.89,2,2,0,2,1,0.74,1,0,1,0,1
16-1,0.86,2,1,0,1,0,0.75,1,1,0,0,2
16-2,0.80,1,1,0,1,0,0.76,1,0,0,0,2
16-3,0.67,2,2,0,0,1,0.77,1,1,0,0,2
16-4,0.37,4,4,3,1,3,0.78,1,1,0,0,0
17-1,0.98,1,1,1,0,0,0.80,1,1,0,0,1
17-2a,0.97,1,1,1,0,0,0.81,1,1,0,0,2
17-2b,0.82,2,2,1,0,1,0.82,1,1,0,0,1
18-1a,0.91,2,2,1,1,1,0.85,1,0,1,0,1
18-1b,0.89,2,2,1,1,1,0.86,1,0,1,0,2
18-2,0.45,3,3,1,1,2,0.87,1,0,1,0,1
19-1,0.66,3,3,1,1,2,0.90,1,1,0,0,1
19-2a,0.59,3,3,2,1,3,0.91,1,1,0,0,0
19-2b,0.28,4,5,2,1,3,0.92,1,1,0,0,0
20-1a,0.90,2,2,1,0,0,0.95,1,0,1,0,2
20-1b,0.39,4,4,2,0,3,0.96,1,0,1,0,1
20-2,0.28,5,5,3,0,3,0.99,1,0,1,1,0
